time,vehicle_id,cargo_id,imei,lat,lng,speed,heading,accuracy
2026-07-02 20:06:27.632+08,1,SH-HZ-20260629-0291,861234567890123,29.61979,106.50748,0,0,5
2026-07-02 20:06:30.545+08,1,SH-HZ-20260629-0291,861234567890123,29.61981,106.50744,0,0,5
2026-07-02 20:06:33.567+08,1,SH-HZ-20260629-0291,861234567890123,29.61978,106.50738,0,0,5
2026-07-02 20:06:36.538+08,1,SH-HZ-20260629-0291,861234567890123,29.61982,106.50732,0,0,5
2026-07-02 20:06:39.541+08,1,SH-HZ-20260629-0291,861234567890123,29.61982,106.5073,0,0,5
2026-07-02 20:06:42.572+08,1,SH-HZ-20260629-0291,861234567890123,29.61985,106.50727,0,0,5
2026-07-02 20:06:45.542+08,1,SH-HZ-20260629-0291,861234567890123,29.61983,106.50725,0,0,5
2026-07-02 20:06:48.55+08,1,SH-HZ-20260629-0291,861234567890123,29.61982,106.50725,0,0,5
2026-07-02 20:06:51.613+08,1,SH-HZ-20260629-0291,861234567890123,29.61979,106.50725,0,0,5
2026-07-02 20:06:54.563+08,1,SH-HZ-20260629-0291,861234567890123,29.61978,106.50727,0,0,5
2026-07-02 20:06:57.529+08,1,SH-HZ-20260629-0291,861234567890123,29.61978,106.50725,0,0,5
2026-07-02 20:07:00.563+08,1,SH-HZ-20260629-0291,861234567890123,29.61982,106.50725,0,0,5
2026-07-02 20:07:03.585+08,1,SH-HZ-20260629-0291,861234567890123,29.6199,106.50722,0,0,5
2026-07-02 20:07:06.57+08,1,SH-HZ-20260629-0291,861234567890123,29.61965,106.50718,0,0,5
2026-07-02 20:07:09.538+08,1,SH-HZ-20260629-0291,861234567890123,29.61966,106.50718,0,0,5
2026-07-02 20:07:12.594+08,1,SH-HZ-20260629-0291,861234567890123,29.61966,106.50718,0,0,5
2026-07-02 20:07:15.576+08,1,SH-HZ-20260629-0291,861234567890123,29.61965,106.50714,0,0,5
2026-07-02 20:07:18.581+08,1,SH-HZ-20260629-0291,861234567890123,29.61964,106.50711,0,0,5
2026-07-02 20:07:21.576+08,1,SH-HZ-20260629-0291,861234567890123,29.61962,106.50708,0,0,5
2026-07-02 20:07:24.745+08,1,SH-HZ-20260629-0291,861234567890123,29.61961,106.50706,0,0,5
2026-07-02 20:07:27.572+08,1,SH-HZ-20260629-0291,861234567890123,29.6196,106.50702,0,0,5
2026-07-02 20:07:30.583+08,1,SH-HZ-20260629-0291,861234567890123,29.61958,106.50699,0,0,5
2026-07-02 20:07:33.558+08,1,SH-HZ-20260629-0291,861234567890123,29.61954,106.50699,0,0,5
2026-07-02 20:07:36.542+08,1,SH-HZ-20260629-0291,861234567890123,29.61953,106.50696,0,0,5
